uncertain	UR	EpsNE	MaxMin	Adv:0.1	R:0.1:0.0	R:0.1:0.5	R:0.1:1.0
0	52.48008714194166	69.32431943042289	63.98501826345384	68.43427657674148	61.031192078818265	66.337631940725	64.81832363817706
5	51.75484699225295	65.83073804190764	62.83826488301549	67.91591585344757	60.638180738771	62.41692495119515	61.32406629579045
10	51.57810273802304	64.01397175487627	62.07967656835504	66.49126386259002	60.32199081090718	62.8215439369857	62.600244687949015
15	52.85748970857358	66.3223362706157	61.61449105733502	65.60874116329262	60.110593512572876	62.365057990892154	61.32764777478101
20	53.25696109054982	62.266415767519184	60.11470542746844	65.36717918488911	61.297763947367095	60.6534237933356	58.89644577050915
25	54.634678671982535	62.49921324350307	62.401934263610656	62.17230262910447	59.496002138545556	63.23885988963898	60.360288484662945
