uncertain	UR	EpsNE	MaxMin	Adv:0.1	R:2.5:0.0	R:2.5:0.5	R:2.5:1.0
0	52.95416479088227	60.986128903146735	64.3311701676468	63.41807675950859	59.33133581312109	60.62803683270849	60.147034869097304
5	52.95416479088227	61.29889190566289	64.22189797217769	63.76176627583427	59.450192183468474	60.6134657350688	59.819383631209256
10	52.95416479088227	60.41750828423454	63.21625655695412	63.10026033224918	59.6176958933352	60.388812884078305	59.837892228904
15	52.95416479088227	59.8737444881578	62.594497891534154	62.53501695371473	59.308246870346885	59.520744226098074	59.136675929778946
20	52.95416479088227	59.14020176586658	61.652941238365045	61.5814458705863	59.57188902947623	59.16533176317787	57.81799438166928
25	52.95416479088227	58.79084188861822	62.007370471720506	60.10151588916221	59.672598467489635	59.13921805145436	55.872089414955724
