lambda EU
0.0 2.1111111111111107
0.1 2.1208755444285337
0.2 2.1304068260867455
0.3 2.1396928086198725
0.4 2.1487230217932294
0.5 2.1574886675556253
1.0 2.1971529608980553
2.0 2.2556996314473308
