agent UR ENE MaxMin Punish
UR	0.0	-0.5647047225170311	-1.3002986939728027	-1.3002986939728027
EpsNE	0.5647047225170311	0.0	-1.1208381204021445	-1.1208381204021445
MaxMin	1.3002986939728027	1.1208381204021445	0.0	0.0
Punish	1.3002986939728027	1.1208381204021445	0.0	0.0
Rob:0.0	2.434727858870092	0.8043083131102005	1.0074071288092494	1.0074071288092494
Rob:0.1	1.553341509361154	3.001616139964464	4.6404417588619955	4.6404417588619955
Rob:0.2	1.0136921481636496	2.621418550727099	5.787075880992112	5.787075880992112
Adv:0.0	2.434727858870092	0.8043083131102005	1.0074071288092494	1.0074071288092494
Adv:0.1	1.484507606053889	1.5449676417201663	1.6924521753304491	1.6924521753304491
Adv:0.2	1.0124367321614736	0.9993748876458954	1.4716441953886141	1.4716441953886141
