uncertain	UR	EpsNE	MaxMin	Adv:0.1	R:2.5:0.0	R:2.5:0.5	R:2.5:1.0
0	38.4450327538397	34.1194731234043	45.68315548408117	39.33313187648439	32.83042128045585	34.8036932530504	33.60122461389188
5	38.4450327538397	34.46745635237813	45.125910084524136	39.304458291263025	32.77388366308611	34.44015032406434	32.887212122211125
10	38.4450327538397	33.50720710894968	43.70926184335723	38.709546789792896	34.00586467774826	36.15887911523611	34.44326420914866
15	38.4450327538397	33.28723824901347	42.137554807396825	38.18778791919478	33.529317991197935	34.07873886845225	33.641617982037914
20	38.4450327538397	32.174710546492435	39.6490019200281	35.60080792075499	33.72407224179795	32.828740111967484	31.341180119576578
25	38.4450327538397	32.0453203268971	38.74542288034197	34.58611906363037	34.711757357605	33.16678823495599	30.262572996234006
